"Hi! This is the spreadsheet for amberpica's unoffical ""early letters"" post. (I am not amberpica, just a friendly anonymous Yuletider.) There will be a 2nd letters post starting on the 17th. Happy Yuletiding!",,,,,,,,
"[Newbies: Do post your letter again in the 2nd letters post on the 17th! :) This spreadsheet will stay up, but it's okay to post in that letters post as well. And welcome to Yuletide. <3]",,,,,,,,
,,"""Early Letters"" Post: http://yuletide.livejournal.com/1203132.html",,,,,,
,Fabrisse,http://fabrisse.livejournal.com/319657.html,VR.5,Frankenstein - Nick Dear,Amazing Grace (2006),Legion of Extraordinary Dancers,,
,RecessiveJean,http://recessivejean.livejournal.com/11594.html,Gravity Falls,The Sherwood Ring — Elizabeth Marie Pope,The Chronicles of Chrestomanci — Diana Wynne Jones,Adventure Series — Enid Blyton,Nancy Drew — Carolyn Keene,
,havetohowl,http://havetohowl.dreamwidth.org/392.html,Archer (Cartoon),Teen Wolf (TV) RPF,Sleepy Hollow (TV),Fright Night (1985),The Blacklist (TV),Almost Human
,angharad_crewe,http://angharad-crewe.livejournal.com/1027.html,Dancing Queen - ABBA (Song),Non je ne regrette rien - Edith Piaf (Song),Badass Historical Queens,Sense and Sensibility - Jane Austen,,
,WickedWonder,http://wickedwonder1.livejournal.com/72695.html,Questionable Content,The Most Popular Girls in School,Yes (band),,,
,jedi_penguin,http://shelfics.livejournal.com/48238.html,"Mandatory Fun - ""Weird Al"" Yankovic (album)",Counter-Measures (Big Finish Audio),A Fine Romance (TV),The Five(ish) Doctors Reboot,,
,And_Dream_Of_Erebor,http://and-dream-of.livejournal.com/4032.html,Dana Knightstone series (Video Games),Эраст Петрович Фандорин - Борис Акунин | Erast Petrovich Fandorin - Boris Akunin,Miranda (TV),,,
,bastoni,http://suspended.dreamwidth.org/1460.html,The Authority,Beetlejuice,Dark City,Hercules (2014),Keen Eddie,
,Snickfic,http://snickfic.dreamwidth.org/534240.html,X-Force (Comics),FF (Comics),Saga (Comics),Pittsburgh Penguins - RPF,Kraken - China Mieville,IT Crowd
,peevee,http://peeveee.livejournal.com/2624.html,His Dark Materials (Philip Pullman),Vi är bäst! | We Are the Best! (2013),Withnail & I (1986),Bring It On (Movies),Rush (2013),
,slr2moons,http://slr2moons.dreamwidth.org/196518.html,Claymore,Mrs. Todd's Shortcut - Stephen King,終わりのセラフ | Owari no Seraph | Seraph of the End,Rock of Ages (2012),Sarai-ya Goyou | House of Five Leaves,声優かっ! | Seiyu-ka! | Voice Over! Seiyu Academy
,russian_blue,http://swan-tower.livejournal.com/692760.html,Gabriel Knight,Elfquest,Songs for a New World,Jidaigeki X-Men,Sengoku Avengers,
,who_la_hoop,http://who-la-hoop.livejournal.com/142213.html,Fallen London | Echo Bazaar,Jaguar British Villains Commercial,Jeeves – P.G. Wodehouse,La Belle et la Bete | Beauty and the Beast,Norse Religion and Lore,
,Icepixie,http://icepixie.dreamwidth.org/955254.html,China Beach,Corner Gas,Northern Exposure,Robson Arms,,
,plinys,http://plinys.co.vu/post/100035793945/dear-yuletide-author-2014,Gotham (TV),Guardians of the Galaxy (Movies),How to Get Away with Murder,Jurassic Park (Movies),Kings (TV 2009),
